,korean,eng
0,가로등,lamp
1,건물간판,buildsign
2,계단,stairs
3,나무,tree
4,담장b,wall
5,담장c,wall
6,담장d,wall
7,담장e,wall
8,담장h,wall
9,대문,door
10,도로명주소,add
11,도로표지판,roadsign
12,도로표지판134,roadsign
13,배전반,switchborad
14,보행자신호등,walklight
15,상가간판,buildsign
16,새콤간판,secom
17,세콤간판,secom
18,신호등,trafficlight
19,안내표지판,guidesign
20,외벽a,wall
21,외벽b,wall
22,외벽c,wall
23,외벽d,wall
24,외벽e,wall
25,외벽f,wall
26,외벽h,wall
27,인도,walkroad
28,주차금지구조물,noparking
29,주행가능차로,road
30,주행불가차로,road
31,지붕d,roof
32,지붕e,roof
33,차선규제봉,lanebar
34,창문a,window
35,창문b,window
36,창문c,window
37,현재주행차로,road
38,횡단보도,crosswalk
