eng,korean,,,
walkroad,인도,128,0,0
road,차도,0,0,0
roof_a,지붕a,128,128,0
roof_b,지붕b,0,0,128
roof_c,지붕c,128,0,128
roof_d,지붕d,0,128,128
roof_e,지붕e,128,128,128
build_a,외벽a,64,0,0
build_b,외벽b,192,0,0
build_c,외벽c,64,128,0
build_d,외벽d,192,128,0
build_e,외벽e,64,0,128
build_f,외벽f,192,0,128
door,대문,64,128,128
wall_a,담장a,192,128,128
wall_b,담장b,0,64,0
wall_c,담장c,128,64,0
wall_d,담장d,0,192,0
wall_e,담장e,128,192,0
wall_f,담장f,0,0,0
wall_g,담장g,128,64,128
wall_h,담장h,0,192,128
balcony,발코니,128,192,128
window_a,창문a,64,64,0
window_b,창문b,192,64,0
window_c,창문c,64,192,0
window_d,창문d,192,192,0
secom,세콤간판,64,64,128
add,도로명주소,192,64,128
sign_a,건물간판,64,192,128
sign_b,상가간판,0,0,0
trafficsign,신호등,0,0,64
guidesign,안내표지판,128,0,64
roadsign,도로표지판,0,128,64
lamp,가로등,128,128,64
tree,나무,0,0,192
switchboard,배전반,128,0,192
aptsign,아파트간판,0,128,192
noparking,주차금지구조물,128,128,192
largepot,대형화분,64,0,64
clothbox,의류수거함,192,0,64
lanebar,차선규제봉,64,128,64
road,현재주행차로,192,0,192
road,주행불가차로,192,0,192
road,주행가능차로,192,0,192
crosswalk,횡단보도,64,128,192
speedbump,과속방지턱,192,128,192
guidmap,공원안내도,0,64,64
walklamp,보행자신호등,128,64,64
stairs,계단,0,0,0
mailbox,우체통,128,92,64
